filename,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
text145,0.505070994,0.018255578,0.148073022,0.020283976,0.024340771,0.068965517,0.018255578,0.087221095,0.089249493,0.020283976
text808,0.504559271,0.018237082,0.03343465,0.024316109,0.194528875,0.054711246,0.045592705,0.018237082,0.018237082,0.088145897
text152,0.504347826,0.019130435,0.066086957,0.015652174,0.057391304,0.043478261,0.022608696,0.062608696,0.085217391,0.123478261
text1128,0.502538071,0.027918782,0.055837563,0.020304569,0.045685279,0.147208122,0.02284264,0.063451777,0.076142132,0.038071066
text132,0.493150685,0.167808219,0.037671233,0.029109589,0.077054795,0.037671233,0.018835616,0.039383562,0.058219178,0.04109589
text119,0.493055556,0.048611111,0.072916667,0.045138889,0.145833333,0.024305556,0.045138889,0.03125,0.052083333,0.041666667
text221,0.492907801,0.046099291,0.092198582,0.088652482,0.117021277,0.046099291,0.024822695,0.031914894,0.039007092,0.021276596
text1077,0.488715278,0.079861111,0.010416667,0.032986111,0.085069444,0.015625,0.074652778,0.105034722,0.009548611,0.098090278
text74,0.487240076,0.043005671,0.043005671,0.014650284,0.193289225,0.047731569,0.040170132,0.037334594,0.04442344,0.049149338
text54,0.485074627,0.111940299,0.037313433,0.152985075,0.03358209,0.03358209,0.018656716,0.026119403,0.018656716,0.082089552
text790,0.484375,0.0625,0.0390625,0.0703125,0.09375,0.0625,0.046875,0.046875,0.0390625,0.0546875
text1304,0.48125,0.065625,0.025,0.1375,0.059375,0.034375,0.034375,0.05625,0.071875,0.034375
text1294,0.478753541,0.018413598,0.065155807,0.009915014,0.120396601,0.077903683,0.019830028,0.097733711,0.083569405,0.028328612
text486,0.47766323,0.048109966,0.113402062,0.024054983,0.103092784,0.048109966,0.037800687,0.034364261,0.085910653,0.027491409
text182,0.477459016,0.12295082,0.069672131,0.047131148,0.057377049,0.016393443,0.047131148,0.073770492,0.024590164,0.06352459
text53,0.476303318,0.052132701,0.052132701,0.033175355,0.154028436,0.071090047,0.033175355,0.042654028,0.056872038,0.028436019
text1274,0.474934037,0.044854881,0.031662269,0.018469657,0.026385224,0.063324538,0.224274406,0.042216359,0.036939314,0.036939314
text605,0.474358974,0.044871795,0.044871795,0.044871795,0.076923077,0.08974359,0.044871795,0.064102564,0.044871795,0.070512821
text150,0.469230769,0.217307692,0.051923077,0.038461538,0.063461538,0.023076923,0.019230769,0.028846154,0.021153846,0.067307692
text1357,0.467640919,0.154488518,0.035490605,0.054279749,0.135699374,0.022964509,0.025052192,0.027139875,0.033402923,0.043841336
text417,0.467640919,0.020876827,0.056367432,0.037578288,0.212943633,0.045929019,0.033402923,0.027139875,0.03131524,0.066805846
text148,0.464912281,0.035087719,0.026315789,0.026315789,0.213450292,0.043859649,0.01754386,0.029239766,0.035087719,0.108187135
